VEHFN,HLLUO,GAVWJ,ZEBCS,RPDSS,MPDSV,HIATF,OIFNR,WYBCJ,QPLNO,UZWIX,FSDML,XPUCO,WYDHV,OIACP,PSZAL,NQLQX,ZXYYW,ADRBO,QYZVS
3,3.05,kfZxhcsqX,bdWm,1.53277,qCfYOuxx,1,JnwYXezfRC,RZJpw,2.29,IgaXHHgdv,NwVd,1,2,Vmhp,TYgW,1,uLp,6.26794,2
2,6.298,7,2.151,1.78896,6.2299,3.1,bKqJyspefH,3,cZn,1.88,3,4,1,3,BrTZ,1.0982,Nib,9.56668,2.55686
3,lHvvrZh,5.5965,oSAG,qZ,1.273,3.44,SXxKLExPpo,1,2.87,vejqMQdoZ,emih,jYfrN,LiUyr,IwMn,2.26,1.1865,mHY,KIoabdDtRm,1.39938
1,5.017,6,1,sq,6.3445,1,5.95062,3,1.2,6.41,1,1.23618,2.92865,1.1907,2.75,hmw,1.53,qEVMwTsZWI,2.1366
KBuZ,3,spJPfmKtZ,3.025,xx,7.3768,XitP,7.31631,iqVVx,fSZ,8.5,2,4,4.60262,1.5347,3.23,UHG,1.78,4,2.1072
2.99941,PNzjwnU,7.636,3.661,1,sFyJModl,1,1,3.99,2.31,qyZYEbwrE,FBos,aVzMi,3,2,JgnZ,Nko,1,4,lKA
1.69862,aPZzcQd,1,HbYZ,1.82568,4,UswV,rCXwwhHXIg,2,GUy,8,1,3.58363,ZmDUk,3.4817,AlDE,1.999,1,4,YRD
yHja,4.33,2,TybR,1.80357,iLOliwBA,2,7,jWXDW,uez,4,eZpM,1,3,2,EYcF,1.3264,yIK,4,1
3.48934,3.573,7,1.317,1,4,oCYl,8,2.518,1,4,gRnv,3,2,ibgY,3.03,2.8643,2.87,1.0272,1.89572
3.83981,5,6,dRKE,1.30698,4.74,pVVS,1,1.975,ukp,zlpsxKkhJ,2.01874,rSvgf,3.8582,hDMA,LJLC,2.1255,1.4,7,sBg
XJII,1.208,DOwamtUGE,3,WY,4,cBSM,kDXxtSIaZj,4,JRq,GMVInvmKR,jqbN,3,4,FGeY,2.14,1,1,9,cfr
3,PGiJtjj,OVgppBRZk,2.092,1.89377,3.0738,3.73,UGtXuqNzMC,4.667,2,4,2,AOJHb,1,2.5531,2.68,qyt,rRo,3,QHX
3,6.848,7,1,Bq,4.3509,2.11,8,1,1.26,3.92,ofqP,3.63895,1,3.671,2,1,1.6,6,1
3,2,1,ZOeZ,1,1,iEjl,8,3.649,2,YNJpgtzXA,DYCz,zeWEk,4,1.5818,AUWi,2,PMv,5.29201,1.83483
3.76855,TjgVXTT,1.6382,1.222,1,1,2,4,2,usE,6,jRjR,3,yhhKO,Mkio,2,sTN,1.71,XwgljJzhir,zma
3,5.301,pbEkqphKU,3,MW,5,3,8,2,1,8,1,VuAPf,NJkWt,2,3.35,wUG,2,HYUdvgnOEl,tUt
1.08603,6,7.1046,kwfO,Ls,sUNlJhtm,3,1,1.667,PpA,6,3,TerUy,lygEt,2,oEHi,1.4326,2,NWjigFqxGO,1.31398
SMvm,qUmsUAN,ozDUPZzMw,3,1,7.2893,cHLU,4,4,tno,sEhRKgAIy,1,3,1.19056,2.4053,3,1.4249,2,OwrtVetIjD,2.73037
1,CBfWHwS,1.1727,2.218,1.50488,4.4033,ALhF,6.59032,2.178,2,5.01,1.687,3.6146,mdrsg,SnQq,1,2,BYh,jXIHOkppnF,Umm
xPDY,DPnsOMo,JzwOGgIQx,sYbR,aH,4.5085,tIDf,9,ZXxFT,2,8.52,1,mbswZ,KWVIg,VFat,3,2,wgg,FtTQVMwQql,2.01397
DruY,2,3,kKnG,1,PKxejctq,3.63,6,ogHUz,2.35,2.2,1.64777,1,3.50272,JcfQ,1.12,2.7422,Nzy,4,zNF
QIgf,4.227,3.1753,2,1.15144,6,Agoq,5,2.58,1.19,5,3,3.11382,4,2,1,1.6516,zZh,RQbLTFKPnE,UOl
2.45417,4,5,2.221,1,UWkjTlqN,2.01,OWUWKHpnYs,HoRtG,1,1.83,NjSt,1,3.74409,gYSq,2.08,2,2,RspptXztWl,NBF
nKTv,jQgNkFt,CNYyKRKUt,1,ke,7.7162,1,fBdOwrnxAX,3.818,Hqy,4,GYeZ,3,1.99823,1.3266,ZnKD,1,2,yVPTnfeSBr,1.59589
3.49666,SVzUCCL,8.7766,1.125,1,7.3496,1,7.28608,xLEZD,1.78,4.69,nZIw,lFhhi,2.39377,1.2823,3,2,1.99,9.91353,2.42777
JETV,6,8.1553,1,1.14974,lgviJjfI,GzaV,4,3.502,1.59,pUowozeGJ,1,nNnkI,PfIIW,1,2.53,2.8155,2.15,3.78104,WiF
OKHZ,3.88,7.4302,3.324,1.24205,5,Fgwf,8,2.862,2,bOeCdNBuH,xknJ,fpyLE,jNhAe,1.8377,2.22,2,2.37,vdGErmIqzw,aAp
2,wglCzkg,1,1,BA,5.6082,hfji,8.42212,1.021,1,eVdXcYkEn,1.14462,4,ecVRo,3.3829,yuqv,nNn,ZQO,ClkeZmpCBQ,2.10742
DNwr,3.753,5.0353,1.793,1.97522,3,1.57,2.41935,TBIpz,1,GzrXeEWHW,3,qZWLd,4,2.9632,1.48,1.399,1.99,oDqVIbiESg,qvY
3.25339,CaSjiME,QFgqJFUsK,3,1.19767,XQdPlQIN,DDKw,WAqoPsmBRF,2,1,7,XuGp,4,4,2,Jpia,2,OeA,8.23147,mpx
1.8968,3,YgzgDihFy,1,dJ,5,1.68,8,2.785,1,7,3.96546,1.65515,4.50333,2,JtTf,1.4844,1,5,1.60255
2.80414,ULrYLiE,8,2.675,1,uHPbvsMb,rtLg,3,2,2.48,7,2,3.2428,2.26337,1,1,1.8859,2,9,ApG
3.88883,mPkwNXC,NuvqrMrNf,3,sd,4.1515,1,lnsOczFjMR,2,1,4,3,4.99538,jxTdX,2,1,Opb,2,1.08099,2.6215
2.83192,6.449,FCMAYLmbu,Jjah,1,pdlpbAuQ,YXOZ,lYPNCyPQWg,4.346,1.76,6.08,jmmk,4.21834,eAZwc,2.3233,cJCp,1,2,5,2.87467
3.55435,6,2,XLlb,1,5.0519,2,mgBXEepURy,4.438,2,QIvKkYmFQ,3,eRSuY,ysgCk,2,Aixg,1.8748,1,YNyCmFBkNI,1
2,TyRWLbO,5,2,Sn,1,UFHV,QzMxEBoeet,MzkfY,OIV,gdSqQMqBI,3.53815,3.02852,yKfHE,1.6787,2.48,2,2.58,kYlLcELUoE,2
wPks,ZIFHkem,7,fCVQ,1,6.6028,BPvc,wEyDUwOIIa,fPUKP,1,4.23,2.46943,CeFkH,1.66617,1.1453,1.91,1.3012,2,4,2
2,6.998,EkolUdWwZ,SNIM,1.93712,7,3,UkMYKcChLv,4,lnu,WfIMxgNRP,WDai,MIjxm,MpuAF,3.7185,2,1.596,2,ZuqQJxtexQ,qLj
3.24603,6,1,dycc,1,5.6335,3,zEcCVelnjo,3,1,fcAZfOVsM,1.88277,2.11841,1,3.4294,3.16,1,1.77,8.30193,plm
vORH,5,wpbdohyss,2.662,TM,3,PxMA,3,1,1,WfrgaYYrR,1.21079,4.25684,3.0373,1.4904,QGGN,Dln,JHF,6.05766,2.27978
Lstp,5.3,bkmDbQwUT,DUwq,1.17065,1.8633,2,grYmvcFWZn,cWybY,1,8.58,3.24191,wIlhH,1,tmpQ,2.11,2.4501,EmY,xATgZOWLWe,2.09014
1,hKVzuuq,PYRApmbZD,3,1,EXwPGYsV,1.62,5.16915,2.632,2.57,2,1,jMfYs,unHjh,khuF,XYTD,1,1,2,2.59139
2.26681,6.655,VvgtvyStG,3.316,1,2,wVUD,2,ylQxl,2,DkfhXJJBc,1.11415,lGTPH,EIGhx,1.6835,JdGe,VYS,DIs,ZxNRpZFYkY,2
lkKf,1,1.8785,2.677,1,5,nfrG,9,xnDwB,CPU,7,2,IrBPF,2.14399,2,2.24,1.3159,cbd,gbDVpETlyV,2.81201
VJHM,jXoqJpt,SqVcDVbEC,2,YU,2,3,7.40689,pmswH,2.22,5,3,2.20632,vzHRD,3.4447,3,vCA,zxl,ZsImPbgJmt,cPF
WYaB,fmYauhH,iRvCRCFsk,1,1.54024,1,2.19,kHcscALGzL,MxedV,1.91,8,2,1.79912,1.56601,PSeE,GTUz,vLD,1.46,5.95581,2.03018
jagX,dOPCLgg,5.0917,3.047,1,cIsnXyft,3.71,aWbfsOPrBB,3,2,5.22,1,MaBbt,4,2,pjZS,IfM,1.31,LoNacBWlMe,bed
3,nOEjyGz,8.8533,TOoy,1,7,QzaD,8.36036,yvNoN,2,6.81,lmus,1.0547,2.62865,Riwq,1.01,PwS,1.95,5,2
kwVb,3.019,SXILWvNQE,2,xi,2.1215,3,6.74828,4,2.28,3,2.07117,Jhupm,3.79522,1,2,2.3237,2,SemuTxGhTR,ziW
2.80321,pNrQrzz,JSTjqtsLx,BbSp,LC,MCkBRjND,2,fdCyCFbGXa,2.601,1,jdimLiURN,RTYC,3.64619,4.8555,1,3,Pls,2.19,OPWhqOLEZb,1
PHNk,1,5.9887,3.357,1.92071,1.8669,2.32,4.71434,JUWiO,1.36,cZLJfPbEq,2,akIeY,nKgvR,2,2,pId,2.92,7.32371,1
3.35882,jYOxmyv,LNRhVbbiA,xwjU,dm,5.1845,1,3.06056,tyncF,2.38,4.82,mOOg,blwcj,1.24332,1.2308,PlSE,2.8812,uGT,7.61632,2.95943
hYEj,4,5,2,1,4.443,1,xQZMecRRqK,2.099,2,uOLHKswUs,2.56976,3,BWIEY,qaOm,Crtu,1,1,5.94008,1.53254
xOCQ,mydDQov,2.1752,1.949,1,jlZHYzbW,2.95,7,3,dNw,rxjRDMJtw,2,TNgCR,fhvac,KCzC,1,COn,2,5,ptZ
SsPZ,3,1.2576,1,1.59593,2.4113,1,cTLuVOzvBG,YSdAR,mIy,5.15,2,4.30599,2.42282,2.053,2,2.1656,ebS,iQlexLHAES,1.77985
Lckh,4,2,3.829,1.32888,2,cVuI,7.18056,3,1.48,WIGUgTisR,GQRx,HRxMj,EFQoa,kRlS,3.48,2,2,2,2
ilJT,aHuUIVQ,TAWkOioAf,tYVD,1,2,2.94,4,1.572,2,yKfLatUry,angY,1,lhzIF,hoFx,1.17,1,2.12,rPHcIZGrsy,1
MKRl,aelPUbC,8,neZa,uq,7.874,2.47,pNpCOLnPzX,4,1,7.46,2.74333,3,gYFQn,UlnW,1.73,zNI,1.39,5.94789,Btv
2.652,wPGFMaR,4.7297,FGcg,NO,lrNvFvYx,2.25,5.5135,Euimy,1.99,HZMAEEpOT,2.87046,1.58011,PPBsq,WtVP,bhFc,2.0875,BJf,vyJTUCbXzj,ldd
2.56668,5.067,aexKxBTVR,1.869,1.33332,7,3,acrgIbjqkv,MLOWe,2,lUUdMOigu,1.914,FPYGE,1.80907,2,3.64,2,Yxn,9,HIu
1,5.992,5.5127,3,Hq,4,2.79,3,2,ysu,3.71,1,3,gpxQh,1.2148,3.06,1,uwO,pGoVwQmjky,Tbb
1,IOtssmm,fHemMBbcs,3.448,1.05872,Iwmozlda,JUwd,4,4.95,1,bUQqFkgJQ,3,ihZHS,WDYZL,UevZ,MeRN,1.8139,1.77,QyhGQMoape,Fqu
1,5,gJdUvSsCY,3.312,1,NaynUQPx,3.96,8.36792,1,1,lESQreVAo,ewQL,1.65937,gQDNp,1.6903,1.03,bvw,2.84,8,2
1,1,YMniSlFiU,biub,yv,7.7482,AdUT,mFDOIcberx,4.563,acn,3.09,ERpq,2,4,2,Onrc,1.1054,1.03,hrPlECneiI,2.29861
2,3,7,DPgm,1,4,2,3,UoEEn,1.67,5.18,1,EEnqI,MiKhe,wKBL,3.73,YyH,1,7,vMY
1,5.646,LZtefKfch,3,1,iKMvXuqo,cYFj,6.17403,JWSqB,2.73,5.16,qMHH,3,2,3,3,lyv,1.35,wmvpoWokKB,1.66184
usYA,4,mEZCLHRXJ,1.737,Xa,2.701,3.66,dCEUsddVpP,4.15,2,mJSHgzUZn,pAby,2.68107,3.90523,wFbH,1,2,1.88,5,cOA
dDGf,5,3.2886,RyfO,1,RJwhYXtN,2,4.40145,4.93,1,5.4,2.31085,4,1,IFut,3.86,GhJ,1,8,1.04888
3,2.863,6.2725,3.704,1.35415,ZprFXWOd,3.67,4.72085,qaYDO,1,4,1.48068,4.11245,4,1,KcQk,efM,lNF,wofQyRZPZe,lBB
1.22145,2.489,1,1,1.15233,jKFPHxBO,1.62,6,wbYeA,2,5,3.43075,1,1.49675,2,1.94,LYZ,EQV,3.28652,lJK
CfXe,XdLrUbj,6,3.133,1.4016,6.1129,1,8.42138,3.144,2,6,1,QsJGn,Cpzcp,2,3,rte,2.03,MxSSqDuggG,2.0262
3.59622,jMhnRXo,3,hOBo,vq,7,3,8,XUMJx,1,6.34,3.96046,Tamax,BhETl,BrJa,3.96,cAm,2.98,7,1
3,6.642,4,nnjX,Jh,2.9108,1,9.84189,IfEkd,2.95,8,mNNC,3,WEZMI,3,3.63,vET,2,3,UmU
AsDr,1,hKbEdiofG,Jplx,Zh,vDQlBTUP,SHhn,8.22499,4,1,5,vWAM,2.67345,2.66766,uLGR,3.45,2,2.8,7.22702,GKx
JdGH,3.613,wVmBaVHtA,RHXK,1,gotxBYqs,1,mKSqlGVdMR,mdqJv,xzj,4,2,4.0444,AFCeC,1,orsN,1.5944,2,7,2
3,1.977,2.4063,1,1,mIrdlTjK,GjPi,8.46736,AkHuN,IyU,CeWGbHsnl,2,RvunE,2,uJlw,1.36,2,xbt,CNQGNhQDha,1.99212
3.96381,NxUTuyf,KjcJVPnfQ,2.168,1.46174,XziKznPm,1.52,2,lDzrQ,UiD,QLzqrxKET,3.7246,4,4,1.9658,3,znZ,2.47,MxybwmzYZk,2
yXqO,1,xNyTrQcdR,1.88,1,1.0288,bMCi,6.32121,2.642,ECB,2,RzUm,3,Djhlm,3.794,1.13,hgK,2,1.04224,wXC
JOfh,3.684,oSlDvpwtR,2.489,1.89124,5,3.48,8,4.653,1,aGvAressa,2,DOtHz,VYqpv,NyJg,1,2.085,1.19,7.17804,1.94893
1,6,5,3,1.40553,3,WlYX,PhJqzoGmMD,3,2.95,nHLEdacBP,2,3.20629,2.70921,3.3197,bxEV,2.2139,1.87,TeahwJJXVG,2
1.05077,3.369,7,1,1,iPImUheG,ZpAD,7,2,1,5,2.16658,4,4.69329,3.9732,PIes,2.0059,1.7,7.52981,JZQ
nClx,1.789,GnApeJDik,1,1.1104,2,1,VubIfRYqwR,2,gdk,2.3,hjmH,2,3.1585,3.6254,3.35,2.6057,1.64,4,vib
1.2606,3,6,3,1,HUuhdXTk,qVOw,gFJVqPVQiU,4,QhZ,5.9,OeXF,1.52529,4,gADs,1,1,2.81,6.12388,1.46509
1,4.024,4.183,RvkK,fz,VZYyFyqy,2,dGjpiaoLRv,1,BKY,3,2,1.97037,4.98046,2,3.91,2.5129,2.44,8,1.6464
vuaa,LejrpBn,4,3,Xt,jsjudFrT,NURR,qHzgxvOtHP,2.977,agq,6.52,FEsA,fnpnN,tfXIp,1,3,2,1.22,6,2.97503
3,5.644,7.9131,ZUmJ,wM,2,2.48,2,3.079,LzW,5,WwVA,KpenB,VhJCb,jGhJ,3,2,1.09,1,1.68591
pRHu,ZWpGrxK,oFRcGHgQC,2,1.69073,6.3597,XXht,5,DxaqG,wdi,lRtRScegw,1.11256,2.74381,IgywU,YdzF,lyKi,1.3315,aRZ,NBYSlJsmmx,1
3.44031,UbQBGjq,TZUWZPkWo,1,1.12819,7.552,cPbU,9.39306,3.922,1.69,krhVhnaPi,nfMT,2,3.66958,jAJC,1.43,1,1,7.12472,2
1.18721,2.752,YwfmmTLHB,3.48,uD,3.83,vzeb,WioJjySKAj,QBRDR,OGj,2,2,4,dMPvU,3.3072,3,2,2,6,2
3.92463,1,1.1459,3.978,1,1,1,9,2.813,1,5,1.17143,vdvaT,1,1.7389,3,2,cKo,5,2.54925
2.1638,ugwBisr,7.6069,3,1,7.9776,1.56,IaxbrbGNer,aEBWc,Qnp,4,3,2,miMyg,paAZ,1.97,1,1,7,1.7591
MPmI,2.701,8.637,1.356,1.75469,1,2.37,2,1.654,VdU,2.53,nKTJ,4,lmSwj,3,3,1,2,fnmZoQahuy,2
kGqC,4.928,8,2,1,1.4035,3,WuQaAYXrrF,jitnf,Mvg,3.0,whAz,ftUUJ,1,2.547,DKyb,1.9452,1,qHOyFVfyJh,2.97923
2.87385,3.52,2,2.094,kl,cWZFChaK,3,vheYhfcPHJ,2.388,2.28,4,APoO,4,mioZy,3.7538,qqKT,zEe,1.64,LXaIqRbyLm,2
HrTZ,wjuZYNq,8,etaP,1.7109,4,UEyt,8.41512,1.52,UTQ,1.84,2,2.81219,XfNwy,1.7905,PYWL,1.5731,2.06,7,1
2.9865,IAOXlCe,pyrnhTyzk,OoUq,SA,6.3989,2.88,PbWLeLJhMz,2,2,CxDkYlvmu,2,4,pjljg,Tezw,twfs,1.4465,1,9.09794,1
2,1.575,5,3,1.35126,1,rNlY,4.5722,4,ZOV,8.77,3,1.87041,3,2,3,XJP,1.72,3,1.60664
3,6,3.6982,yZsF,Xp,xbIYmhhX,3.53,RZdKQCzIpX,GBsnV,2,5,NRgf,3,3.77139,ZtIy,1.83,umA,rRQ,7.44601,HRG
tzLC,1,yWzfEBuPf,1.173,TD,MxAQgYkV,1,5.62615,QIofB,bsP,WBIKDpEcB,oSEs,3,miKgY,2.1529,Fuwh,evY,1.9,3.41174,cfw
3,2.902,ttnOukXPE,3,1.55478,3,wvpS,1,1,CXQ,3,2,3.04373,kjINp,TTHe,bvrd,1.9878,vuO,ILFsPmVkYh,1
3,YQnLGgq,YqYDeMdfM,kRzS,Xr,2.7662,1.71,4.43168,4,2.23,6,YbAs,4,2,3,CPXl,nCc,2,7,2.46775
2.73077,3,XRTQTGoBZ,3.138,Av,3,1.85,4.83357,4,1,5,1.57702,4,2.05399,3.2906,3,1,VmY,HSKUjykLND,icG
iSbN,3.267,BUYacbtof,2.751,1,EwPMujgO,bXJU,1,1,ipw,EjjRcPCZy,1.00855,2,uLoLF,Rlie,1,2.1269,1,kDIKvNQDOy,1.31178
3,ZiNEQxi,8,1.108,1,7.6675,3,5,IkkRR,2.66,KoYQoAkAq,2.84559,2.01231,4.17921,sRyO,RXLj,ZKf,2.91,3.19374,IGA
pPnH,5.547,1.3653,2.663,1.95077,tczcyqwe,vHCg,nFVgsAQhPh,4.096,aOu,3,RdTi,3,3,IveQ,1,jFn,1.56,ydfjaUXonQ,gAK
1.80882,4.43,6.2849,2.36,1,5,3.35,xhvtTBTTYs,4,tFz,7.28,3.81827,LWXyi,1.91308,JaSq,pKph,2,1,FfKsUpKizT,1
2,XMuNHCa,5.2864,2,1.55754,4.0558,2,FqPMYPuGrW,4,1.38,zKxelEALP,3.38049,prBMX,4.76044,1.5402,uGpa,1,1.07,7.29776,Ijc
1.6107,3.166,6.994,YopI,cQ,4.15,3,ZFvnGgUpXR,1.038,1,5,3.78599,2.65189,szNIz,oMil,1.96,zwT,2.03,3.19491,gPK
1.08938,6.047,5,2.609,1,1.3528,EuAt,8.79871,1.24,1.24,5,2.96346,xtJYQ,beWvM,3,1.74,1.2449,jkk,9,2
SUrS,1,5,OSgY,1,5.4971,3,2,MGVnk,2.66,2.3,3.76855,2.77837,3.84622,1.5575,2,uLp,1.93,uultbZWJbX,gbW
xTLV,3.431,6.5541,kiNw,1,5.1619,rDWF,AzlkFFUWiW,3,coV,5.31,NmXn,YXorZ,CFSBY,2.4649,2.62,sFl,2.45,rbHofhzmuJ,UKu
cElM,5,IrefPRphh,HFJw,1.47654,6.5079,LyHC,HxvSouTybs,2.047,2.09,IBLLRXNLn,1,4.74231,3.62089,2,1.48,1,2.53,9.91933,seW
3,LFsfkEI,7,1,1,2,1.94,1.87826,3.958,1,tTDeyLEfd,1.17749,2,4.00644,NPXP,Azwo,2,2.99,FSjClpMvto,2
ieaR,VcavsXt,PwpQxikaT,txDO,1.14595,7,3.85,gELkgWNxYW,1.878,2,6.53,2.09577,2.26044,3.30125,3,RrTT,2,2.37,dzDrLnVmia,1.96139
fDAb,5,jYFgGethx,2,1,7,EykJ,5.85468,dduFm,2,2,2.70219,LDBfs,1.46231,YwdF,1.93,1.2293,2,3,lDV
1.02355,3,4,3.679,1,6.6542,ycsX,3,1.645,aKi,8.79,aQlv,3,ZrClu,1,hzeH,1.4249,1.95,1.8634,1.90459
2,1,7,1.615,1.33694,5.5955,1,8.04843,4.911,1,2.07,2,3,1,YRvG,1,1,1,5.96226,GQj
2.30261,AsmtZRz,6.6167,3.938,1,VbXcbaZN,1.57,5.9719,4.81,XJh,1,2,2.09796,1.92606,JYqE,1.35,1,obC,wFHnpiHJQt,2
3.85318,5,3.7906,3.103,1.86099,4,1.87,yPPZHcCVcQ,3.892,1,7.08,3.52824,ObYHU,3,1.458,2,1,wbA,HhKCGqZOPQ,2
1,4.546,7.4315,2.586,1,1.1506,GykZ,1.91921,zZrjU,1,3.59,3,3,1,3.3586,1,qHP,1.11,7.60651,fjp
zgBH,1.891,2.6816,iVke,Nv,6.4737,3,SAZGzAkSqV,4.107,2.13,kxhfUjZDY,2.07564,1,1.05989,3.5046,3.66,1,1,mVbJkmfDmM,KiE
1.82809,5,4.5976,3.612,1.82286,4.9377,1.55,5.14187,QgrtB,gSQ,6.66,RqKj,2,2,3,1,1.094,1,LSxZYmVNCS,Tvg
2,6.302,6,3,1,uBytYjuB,FvuW,8,1,2.12,vpunKDrwM,MKSz,4.04963,4.04858,3,2.16,2,2.6,4.28515,2
1.89257,3.104,1,1,aR,1.1075,3.9,9.91892,PbXcO,Pfb,1,3.54701,4,IsfMB,gCgz,eGXQ,1,1.81,6.29052,waP
2.21022,6,1,3,1,DMAwZjhy,3,eyCSSaKDUS,Wbstq,cSn,6.82,2,4,ZtHrH,3.5495,uyRA,2.115,Qvp,9,2.60492
2.72666,ocBJmwJ,3,IJdd,ec,zDoKcIiM,1,cijNlvmGid,3,2.4,tadcAoXfo,3.62848,1,1,2,3,2,2.45,MzhWQqQOhm,fYJ
RFWE,hSkVLgo,3.0829,3.228,xD,3.0691,3,3,VrGkq,1.76,6.2,1.36745,2,lyjfb,2.0907,2,1.9979,wpk,4,2
2,vFfMaNs,1,2,1,7.4428,2.77,3.55531,jojCG,1,3.79,bdrx,4,4,Ywtj,1,2.6159,1,7.38473,2.40335
3.7627,2,ZCDQaWnka,3.414,1.17837,2.2361,2,WRitYdBMeT,1.472,2.08,1,2,2,cOQPH,3.6425,2.5,2,1,4,aoY
nAfD,HwxWmmy,8,3,1.69336,5,sOIu,6.46397,2,1.12,4,rtVu,FWzbZ,1,2.7326,DPGE,1,2,4.72132,yGA
tVGi,1.481,2,Hham,1.92244,2,hCcX,iRhXklaiJj,4.832,BGd,7.39,oVLw,4.80698,4,EuRt,DQyh,FRz,RWT,IylGocabIp,2.44389
pFVO,3,BIBGTEsHl,2.02,1.78272,4.1144,1,5,2.677,zNq,3,kdWf,VlrsT,aylVA,RHvX,3,DQk,2.13,4,LAQ
RRdj,IouLjIK,YrvWDEwnl,1,BK,mXZGxeHO,OqLm,6.6936,1.174,2,1,2,kTOKy,OSWhO,3.6003,2.81,2.5301,mbu,PMDyBAyDwl,okA
3,dmeYPdP,4.3685,3.625,CN,UgaSBtFO,3,4,4,1,6,3.3957,rSJnQ,TmTUh,1.2288,2.35,Bww,1.35,5.31722,2
3.04874,3.22,BErHICsdV,FhAQ,cR,3,2,2,1,1.87,uJrDMMxbd,2,2.77928,4,1,KgKk,1,2,GZCZNNlOOM,1.58983
3.53485,5.357,pvijVgZmi,1.171,1.02544,FiEryqkh,2,5,2,1,7.72,2.91324,4,2,OtrN,2.94,1,1.79,7.95722,DnS
3,5.53,6,1,1,BLOVkeuK,1.55,5,1.032,XUS,4,MVxq,4.48022,2.33947,3.2657,2.15,XcG,vYI,8,1.73085
1,2.722,OcIgSeqAK,3,Zb,wZeVJifr,TlIf,7.67465,4,2,8,2.79919,3.49868,2.42904,1,2.51,2.228,1,1.87607,2
iYLv,wZekJNR,8,1,1.48344,1,LxBx,NoMIbLdLXB,2.333,2,QKBZENbeS,1,2.14973,elULm,3.3298,3.09,1.9051,Vtx,9,1
bnQS,2,TyvjCCccw,pJIt,1,2,3,AfDgNIHTEB,2.053,yjh,5.03,TeYp,1.50638,1,LiNl,WEMD,VgM,tFo,6,1.22353
3,jtyTYyC,4,2,1,nFOPlAYj,3.01,8.25372,1.394,1,mZTOWqvKZ,2.81525,2.15412,4,3,2.11,1.8317,BTs,5.42378,vSP
3,6,7.6524,2,1,4.834,2,7.03273,4.741,1,7.26,3,4,4,1.6196,DUEv,1.581,Swq,2.92542,1.21379
axqA,5,8,FsfS,1,6,psxs,hqFZVmICAF,AeDox,ITv,6.87,3.76798,KTwHz,3.20335,3,2,1.8585,rhv,4.49061,1.88027
1.05154,6,6.0698,3.432,uP,2,3.46,5.44856,wLPvi,2.4,fOomzGPve,3,3,1,2,LZfB,yTX,1.48,4,mSn
3,VkHIcom,cVvRxkNCx,aVmu,1.17275,7,MwQu,4.98466,3.062,1.6,6,hudb,4,4,SUEJ,Rgxo,1,GLa,zWJszxZtuK,1.31099
1.64259,2.468,OQDxfcKvI,aHIM,1,3,OdMx,4.36712,xTaaX,2.47,6,3,2.20425,QOmtS,2,FewK,1,2,6.66847,1
1,5,3.3558,IvGn,ec,uKrnnWIo,KDHu,2,2,YRS,7,1.46003,4,2.83595,YZwr,1.66,2.0193,2.33,ZBvsEFnCgI,1.52221
2,2,JLcQcbSOW,2.624,1.76379,3.7532,3,9.98974,1,vFR,jMDsWBbtW,cBrZ,tYRuV,2,BUce,1,2,1.88,3.54555,2
fjMv,4,8,tJUT,1,ucTljVZi,3,8.87858,GfIyy,1.66,8.1,3.27041,rTohy,pBzIl,bYMA,3.57,KwM,2.61,7.90122,2.43335
gpSz,5.492,EVeWniAcM,1,1.07397,AXZSCOAT,1,9,2,fto,3,3.21611,2.79462,JBJak,2.7783,vCFe,AZK,bjT,yOXOjpfbBY,1
3.87809,AofVvXx,3,ntwC,XP,3,3,5,1,1,8.38,3,3,1.50102,3.8144,1,Ggu,FUT,1,1.69984
1.4957,4,1,2.992,mF,JZOFImMH,3,UNGRxMGZXL,sivSJ,1,7.56,XPlt,QZbFN,1.50236,jjJR,LdLx,zxj,rYZ,8,1.68752
2.65185,5,AhNNRmiay,1,1,NNTuQzMY,gPvC,8,1,QpG,sBEBdGmNm,FcsO,ZSYrz,4,3.6926,2,1.1569,2.06,6,ftG
hjKg,3,4.1634,3,Gu,dWJHQwkZ,2,slEeNXVfPB,2,VhY,kVVAoIwlB,1,3.3848,ICgaN,oTTG,3,2,eCz,4.14808,2
vKXF,6.634,1,LrlT,1,PrcoSprU,qUdD,ZHDoUsffJJ,1,2.83,1,3,reyTF,4.44045,1.8082,vjWU,2,1.98,4,2.71392
NiHq,xIPMoja,7,1,1,1,2,2,3.522,bbq,4.77,WQMB,3.69669,1.80279,1,1,2,1.02,9.83525,jNm
3,6,4.7118,PTOu,1.59177,4,fPCI,9,2.351,1.51,8.52,2.56819,DMeOU,4.39541,2,1,gYt,ggT,3.78204,1
2,2.192,CwhzSuEli,HLTd,1,1.4793,1,5,2.562,Ufz,8.18,jbMV,vfwTk,2,1.1108,3.61,1,DJi,lmelfEMLtm,hJt
PFQi,1,7.3884,cMdz,1.63875,6,1.94,5,HRaDG,1.1,2,2,3,VqFEU,1,3,1,1,1,2.71699
UOTf,4.426,msDlcNaLE,EIvp,1.299,6,mZkG,kARxqSITnu,3.586,WCW,DJxoBTEwh,YiJL,tbWXk,1.36886,2,otmL,1.9725,2,8,1
2,eQjndcc,4,3.308,1,ZgrtkxIP,2.55,4.62022,1.712,2,8,JNLA,XydSL,KGaVW,2.7943,IaNN,2.5797,1.63,1.1329,2
